"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"205478_at",-3.20037327656886,8.26088329511569,-11.23962697601,5.32340249575415e-19,1.1862137781289e-14,32.5225358397862
"219140_s_at",-4.09282955104385,8.91119383638522,-10.9401446617181,2.24341192101618e-18,2.49949739180018e-14,31.1406793326155
"266_s_at",3.9412310484353,9.00452006024389,10.8057643572727,4.28591263396162e-18,3.18343304075223e-14,30.5184321624348
"222317_at",-3.72311757866719,6.92115450472115,-10.5853133478663,1.24228403405821e-17,6.92045378272979e-14,29.4949807765605
"201650_at",4.6832689416366,8.26490533877492,10.4252525207416,2.69445767838342e-17,1.20081200894835e-13,28.7500185612261
"201839_s_at",2.38821322475924,9.88706357233632,10.309039612699,4.73068939400068e-17,1.75689919610862e-13,28.2082505407245
"210964_s_at",-2.30402656266245,9.51201038000298,-10.1073073033804,1.25838491596886e-16,4.00579872607631e-13,27.2662466049251
"221009_s_at",-2.12586591731009,7.33427630379317,-10.0185876012359,1.93581445317273e-16,5.39196918250598e-13,26.8514135507583
"219295_s_at",-2.54827738438025,9.89118300148237,-9.90526143157211,3.35684641734112e-16,8.31117874640136e-13,26.3211072924816
"43427_at",-3.00775898517869,9.43905558328848,-9.70313756672954,8.96656968367037e-16,1.99802072261227e-12,25.3743120529432
"202286_s_at",2.65151403441933,10.2991627071046,9.61358669588206,1.38599574907122e-15,2.72398707419002e-12,24.9545274779534
"205220_at",-1.62205215689471,9.02342499795762,-9.60191651000714,1.46694093660101e-15,2.72398707419002e-12,24.8998106867146
"212741_at",-2.70409394161362,9.81319423083714,-9.49310253784232,2.49045778482961e-15,4.26883621687371e-12,24.3895295731671
"205610_at",-1.66364505694813,8.62470978173236,-9.33020783983712,5.50063953717497e-15,8.75505362906212e-12,23.6254261262474
"202988_s_at",2.32411193591688,7.66872225399469,9.28316899312837,6.91482937674964e-15,1.00412584688948e-11,23.4047591141701
"214456_x_at",-3.46158618273652,9.45412076380095,-9.27457539848159,7.20998678375073e-15,1.00412584688948e-11,23.3644452591059
"204388_s_at",-2.02994726750536,9.31653821772353,-9.26176137113017,7.67365308641982e-15,1.00583536308643e-11,23.3043329645566
"218087_s_at",-3.11367948808122,9.65893720441418,-9.2282062423599,9.0339802549495e-15,1.11835656678355e-11,23.1469236762307
"210298_x_at",-1.96096568665507,7.85926814493766,-9.2060139572587,1.00635693655432e-14,1.18024482195999e-11,23.0428208480918
"209771_x_at",1.84856938720337,11.1935815537447,9.17049841163819,1.19607904537067e-14,1.33261146839973e-11,22.8762255074446
"219398_at",-1.41638914391789,11.3490532980689,-9.15580416780862,1.2846698241881e-14,1.36315703297064e-11,22.8073009159735
"218168_s_at",-1.98824993613239,8.92094915658908,-9.07489216622265,1.90386517543773e-14,1.90068435238512e-11,22.4278155179954
"208510_s_at",-1.98446896390721,8.04655254047879,-9.0687211135116,1.96184266502974e-14,1.90068435238512e-11,22.3988759406662
"49452_at",-2.1311812747803,10.6045796000277,-9.03968416637758,2.25923209079596e-14,2.04080048727512e-11,22.2627126315064
"207092_at",-3.03806113201115,9.37929781390216,-9.03693358329368,2.28963838719553e-14,2.04080048727512e-11,22.2498149610039
"205382_s_at",-3.43281590111659,9.98676230703771,-9.01771450629283,2.51381507536861e-14,2.1544362047861e-11,22.15969887676
"201286_at",2.03949850299667,8.46941555736429,8.97786836173456,3.05088721234914e-14,2.45373736613174e-11,21.972885668248
"215695_s_at",-2.42442478564842,10.1520765759344,-8.97569498276468,3.08327632058918e-14,2.45373736613174e-11,21.9626969463651
"218237_s_at",1.79933817905897,9.99135310197676,8.94857605152124,3.51750500331986e-14,2.63980121531925e-11,21.8355725173888
"201131_s_at",2.38036838359873,9.42329307651249,8.94460483026151,3.58602639750013e-14,2.63980121531925e-11,21.8169580764009
"219737_s_at",-1.76229341185146,8.8308828068974,-8.93857791054282,3.69257340798939e-14,2.63980121531925e-11,21.788708552449
"219738_s_at",-1.8905863405543,8.39476936923204,-8.93316568071083,3.79094551407872e-14,2.63980121531925e-11,21.7633409088214
"214414_x_at",-2.02345067419399,11.1931707503259,-8.91127376194247,4.2162868276483e-14,2.84701573880264e-11,21.6607382582168
"203548_s_at",-3.06801125482635,10.0961248425797,-8.87776458235983,4.96144620406746e-14,3.2516442872128e-11,21.5037106438698
"205913_at",-2.50955471336697,10.3532380820062,-8.85453985577958,5.55373755393036e-14,3.53582668326372e-11,21.3948942508115
"221928_at",-1.90122827658865,9.29055998032811,-8.76248562631869,8.68227062546522e-14,5.26677891963475e-11,20.9637419554866
